	S	T	Y	N	Q	K	R	H	D	E
0051_75	2	0	0	0	1	1	3	1	1	1
0240_9	0	0	2	0	1	0	4	1	2	0
0083_44	0	0	1	0	0	0	2	0	0	0
0066_12	3	0	0	1	0	2	2	1	2	1
0071_67	0	0	1	0	1	0	4	0	0	1
0119_39	1	0	0	1	0	0	1	0	0	1
0091_46	0	0	0	0	0	0	1	0	1	1
0059_36	0	0	3	1	1	1	2	1	1	1
0270_32	0	0	1	0	0	0	2	1	1	0
0139_6	0	0	1	1	0	0	1	0	1	0
0548_8	3	2	5	1	0	0	3	0	2	0
0066_68	1	0	0	0	1	1	3	0	1	0
0134_23	0	0	1	0	0	0	3	1	1	0
0058_21	2	0	0	0	1	2	3	0	3	1
0152_11	0	0	1	0	0	0	1	0	1	0
0067_27	0	0	2	1	0	1	2	0	1	0
0082_37	1	0	1	2	0	1	1	0	1	2
0136_29	0	0	2	1	0	0	2	0	0	0
0059_56	0	0	3	0	0	0	3	1	1	1
0258_15	0	0	2	1	0	1	2	0	0	0
0129_50	0	0	0	0	0	2	2	0	0	0
0129_33	6	1	9	1	4	2	4	1	4	2
0107_2	1	0	0	0	1	0	3	0	1	0
0478_3	0	0	0	0	0	0	2	0	1	0
0089_1	0	1	0	0	2	1	2	1	0	1
